theta,d,a,alpha,tipo,min,max
0,675,260,-90,r,-185,185
0,0,680,0,r,-155,35
-90,0,0,90,r,-130,154
0,-670,0,-90,r,-350,350
0,0,0,90,r,-130,130
0,-158,0,180,r,-350,350
